	black_rockcod.fa	stickleback
OG0005763	XP_010765110.1	ENSGACP00000019701.1
OG0005764	XP_010765115.1	ENSGACP00000011952.1
OG0005765	XP_010765118.1	ENSGACP00000022085.1
OG0005766	XP_010765123.1	ENSGACP00000023280.2
OG0005767	XP_010765125.1	ENSGACP00000003986.1
OG0005768	XP_010765131.1	ENSGACP00000027541.1
OG0005769	XP_010765137.1	ENSGACP00000017864.1
OG0005770	XP_010765139.1	ENSGACP00000024904.1
OG0005771	XP_010765140.1	ENSGACP00000003871.1
OG0005772	XP_010765141.1	ENSGACP00000019007.1
OG0005773	XP_010765142.1	ENSGACP00000001699.1
OG0005774	XP_010765145.1	ENSGACP00000026252.1
OG0005775	XP_010765150.1	ENSGACP00000011185.1
OG0005776	XP_010765151.1	ENSGACP00000027500.1
OG0005777	XP_010765152.1	ENSGACP00000011233.1
OG0005778	XP_010765155.1	ENSGACP00000011202.1
OG0005779	XP_010765158.1	ENSGACP00000005318.1
OG0005780	XP_010765162.1	ENSGACP00000005297.1
OG0005781	XP_010765172.1	ENSGACP00000005124.1
OG0005782	XP_010765178.1	ENSGACP00000008333.1
OG0005783	XP_010765182.1	ENSGACP00000018425.1
OG0005784	XP_010765184.1	ENSGACP00000017056.1
OG0005785	XP_010765187.1	ENSGACP00000015955.1
OG0005786	XP_010765193.1	ENSGACP00000024188.1
OG0005787	XP_010765196.1	ENSGACP00000024411.1
OG0005788	XP_010765197.1	ENSGACP00000017011.1
OG0005789	XP_010765199.1	ENSGACP00000006596.1
OG0005790	XP_010765202.1	ENSGACP00000008822.1
OG0005791	XP_010765204.1	ENSGACP00000021279.1
OG0005792	XP_010765209.1	ENSGACP00000008705.1
OG0005793	XP_010765214.1	ENSGACP00000018966.2
OG0005794	XP_010765215.1	ENSGACP00000008694.1
OG0005795	XP_010765218.1	ENSGACP00000026509.1
OG0005796	XP_010765220.1	ENSGACP00000023015.1
OG0005797	XP_010765224.1	ENSGACP00000026513.1
OG0005798	XP_010765227.1	ENSGACP00000026521.1
OG0005799	XP_010765230.1	ENSGACP00000001954.1
OG0005800	XP_010765234.1	ENSGACP00000009586.1
OG0005801	XP_010765235.1	ENSGACP00000009569.1
OG0005802	XP_010765238.1	ENSGACP00000017480.1
OG0005803	XP_010765241.1	ENSGACP00000018124.1
OG0005804	XP_010765244.1	ENSGACP00000015275.1
OG0005805	XP_010765246.1	ENSGACP00000001977.1
OG0005806	XP_010765247.1	ENSGACP00000017596.1
OG0005807	XP_010765251.1	ENSGACP00000017552.1
OG0005808	XP_010765254.1	ENSGACP00000017606.1
OG0005809	XP_010765257.1	ENSGACP00000007712.1
OG0005810	XP_010765258.1	ENSGACP00000001974.1
OG0005811	XP_010765264.1	ENSGACP00000014642.1
OG0005812	XP_010765266.1	ENSGACP00000001969.1
OG0005813	XP_010765270.1	ENSGACP00000027368.1
OG0005814	XP_010765272.1	ENSGACP00000027369.1
OG0005815	XP_010765273.1	ENSGACP00000027362.2
OG0005816	XP_010765275.1	ENSGACP00000027359.1
OG0005817	XP_010765276.1	ENSGACP00000001965.1
OG0005818	XP_010765277.1	ENSGACP00000023374.1
OG0005819	XP_010765279.1	ENSGACP00000027366.1
OG0005820	XP_010765281.1	ENSGACP00000027365.1
OG0005821	XP_010765295.1	ENSGACP00000022342.1
OG0005822	XP_010765298.1	ENSGACP00000010965.1
OG0005823	XP_010765305.1	ENSGACP00000010782.1
OG0005824	XP_010765308.1	ENSGACP00000010841.1
OG0005825	XP_010765310.1	ENSGACP00000010866.1
OG0005826	XP_010765311.1	ENSGACP00000010911.1
OG0005827	XP_010765312.1	ENSGACP00000010920.1
OG0005828	XP_010765313.1	ENSGACP00000010923.1
OG0005829	XP_010765325.1	ENSGACP00000010732.1
OG0005830	XP_010765329.1	ENSGACP00000010729.1
OG0005831	XP_010765338.1	ENSGACP00000010636.2
OG0005832	XP_010765341.1	ENSGACP00000010591.1
OG0005833	XP_010765346.1	ENSGACP00000010994.1
OG0005834	XP_010765347.1	ENSGACP00000010932.1
OG0005835	XP_010765348.1	ENSGACP00000010854.1
OG0005836	XP_010765350.1	ENSGACP00000010619.1
OG0005837	XP_010765351.1	ENSGACP00000010602.1
OG0005838	XP_010765352.1	ENSGACP00000010596.1
OG0005839	XP_010765353.1	ENSGACP00000002209.1
OG0005840	XP_010765354.1	ENSGACP00000006697.1
OG0005841	XP_010765355.1	ENSGACP00000018034.1
OG0005842	XP_010765360.1	ENSGACP00000018042.1
OG0005843	XP_010765361.1	ENSGACP00000018044.1
OG0005844	XP_010765362.1	ENSGACP00000018057.1
OG0005845	XP_010765363.1	ENSGACP00000018062.1
OG0005846	XP_010765364.1	ENSGACP00000018069.1
OG0005847	XP_010765365.1	ENSGACP00000003452.1
OG0005848	XP_010765366.1	ENSGACP00000018072.1
OG0005849	XP_010765367.1	ENSGACP00000018078.1
OG0005850	XP_010765368.1	ENSGACP00000018083.1
OG0005851	XP_010765377.1	ENSGACP00000018126.1
OG0005852	XP_010765381.1	ENSGACP00000018164.1
OG0005853	XP_010765382.1	ENSGACP00000018166.2
OG0005854	XP_010765385.1	ENSGACP00000018210.1
OG0005855	XP_010765386.1	ENSGACP00000018214.1
OG0005856	XP_010765394.1	ENSGACP00000018066.1
OG0005857	XP_010765397.1	ENSGACP00000018089.1
OG0005858	XP_010765399.1	ENSGACP00000018161.1
OG0005859	XP_010765400.1	ENSGACP00000018190.1
OG0005860	XP_010765404.1	ENSGACP00000017206.1
OG0005861	XP_010765406.1	ENSGACP00000007810.1
OG0005862	XP_010765410.1	ENSGACP00000002800.1
OG0005863	XP_010765411.1	ENSGACP00000002795.1
OG0005864	XP_010765414.1	ENSGACP00000002808.1
OG0005865	XP_010765415.1	ENSGACP00000002805.1
OG0005866	XP_010765416.1	ENSGACP00000002804.1
OG0005867	XP_010765417.1	ENSGACP00000002822.2
OG0005868	XP_010765418.1	ENSGACP00000002828.1
OG0005869	XP_010765421.1	ENSGACP00000002796.1
OG0005870	XP_010765424.1	ENSGACP00000015137.1
OG0005871	XP_010765434.1	ENSGACP00000015065.1
OG0005872	XP_010765447.1	ENSGACP00000021162.1
OG0005873	XP_010765449.1	ENSGACP00000004400.1
OG0005874	XP_010765450.1	ENSGACP00000004413.2
OG0005875	XP_010765451.1	ENSGACP00000004425.1
OG0005876	XP_010765452.1	ENSGACP00000004442.1
OG0005877	XP_010765454.1	ENSGACP00000021608.1
OG0005878	XP_010765455.1	ENSGACP00000004406.1
OG0005879	XP_010765466.1	ENSGACP00000008758.1
OG0005880	XP_010765467.1	ENSGACP00000008653.1
OG0005881	XP_010765470.1	ENSGACP00000015757.1
OG0005882	XP_010765472.1	ENSGACP00000015800.1
OG0005883	XP_010765475.1	ENSGACP00000016445.1
OG0005884	XP_010765478.1	ENSGACP00000008780.1
OG0005885	XP_010765480.1	ENSGACP00000009138.1
OG0005886	XP_010765484.1	ENSGACP00000004291.1
OG0005887	XP_010765486.1	ENSGACP00000017993.1
OG0005888	XP_010765488.1	ENSGACP00000001277.1
OG0005889	XP_010765489.1	ENSGACP00000026070.2
OG0005890	XP_010765492.1	ENSGACP00000001284.1
OG0005891	XP_010765496.1	ENSGACP00000003315.1
OG0005892	XP_010765497.1	ENSGACP00000003329.1
OG0005893	XP_010765510.1	ENSGACP00000018097.1
OG0005894	XP_010765511.1	ENSGACP00000019013.1
OG0005895	XP_010765513.1	ENSGACP00000019521.1
OG0005896	XP_010765515.1	ENSGACP00000019523.1
OG0005897	XP_010765529.1	ENSGACP00000019528.1
OG0005898	XP_010765531.1	ENSGACP00000007525.1
OG0005899	XP_010765535.1	ENSGACP00000026784.1
OG0005900	XP_010765536.1	ENSGACP00000026782.1
OG0005901	XP_010765538.1	ENSGACP00000026781.1
OG0005902	XP_010765539.1	ENSGACP00000026779.1
OG0005903	XP_010765540.1	ENSGACP00000026777.1
OG0005904	XP_010765545.1	ENSGACP00000026775.1
OG0005905	XP_010765549.1	ENSGACP00000026778.1
OG0005906	XP_010765550.1	ENSGACP00000026772.3
OG0005907	XP_010765555.1	ENSGACP00000022535.2
OG0005908	XP_010765556.1	ENSGACP00000006111.1
OG0005909	XP_010765557.1	ENSGACP00000022547.1
OG0005910	XP_010765558.1	ENSGACP00000022548.1
OG0005911	XP_010765560.1	ENSGACP00000008663.1
OG0005912	XP_010765561.1	ENSGACP00000025379.1
OG0005913	XP_010765565.1	ENSGACP00000008307.1
OG0005914	XP_010765571.1	ENSGACP00000010244.1
OG0005915	XP_010765572.1	ENSGACP00000010231.1
OG0005916	XP_010765573.1	ENSGACP00000010227.1
OG0005917	XP_010765575.1	ENSGACP00000006505.1
OG0005918	XP_010765576.1	ENSGACP00000006500.1
OG0005919	XP_010765577.1	ENSGACP00000006129.1
OG0005920	XP_010765578.1	ENSGACP00000006123.1
OG0005921	XP_010765584.1	ENSGACP00000006195.1
OG0005922	XP_010765586.1	ENSGACP00000006239.1
OG0005923	XP_010765589.1	ENSGACP00000008278.1
OG0005924	XP_010765591.1	ENSGACP00000025374.1
OG0005925	XP_010765594.1	ENSGACP00000006069.1
OG0005926	XP_010765596.1	ENSGACP00000006090.1
OG0005927	XP_010765599.1	ENSGACP00000026033.1
OG0005928	XP_010765600.1	ENSGACP00000026028.1
OG0005929	XP_010765605.1	ENSGACP00000026036.1
OG0005930	XP_010765608.1	ENSGACP00000014949.1
OG0005931	XP_010765609.1	ENSGACP00000019846.1
OG0005932	XP_010765610.1	ENSGACP00000008871.1
OG0005933	XP_010765611.1	ENSGACP00000009141.1
OG0005934	XP_010765613.1	ENSGACP00000009114.1
OG0005935	XP_010765621.1	ENSGACP00000023026.1
OG0005936	XP_010765622.1	ENSGACP00000020835.1
OG0005937	XP_010765623.1	ENSGACP00000020839.1
OG0005938	XP_010765625.1	ENSGACP00000011882.1
OG0005939	XP_010765626.1	ENSGACP00000019841.1
OG0005940	XP_010765629.1	ENSGACP00000000917.1
OG0005941	XP_010765631.1	ENSGACP00000000920.1
OG0005942	XP_010765633.1	ENSGACP00000026680.1
OG0005943	XP_010765634.1	ENSGACP00000026681.1
OG0005944	XP_010765636.1	ENSGACP00000008657.1
OG0005945	XP_010765642.1	ENSGACP00000008682.1
OG0005946	XP_010765644.1	ENSGACP00000008665.1
OG0005947	XP_010765648.1	ENSGACP00000020239.1
OG0005948	XP_010765651.1	ENSGACP00000020285.1
OG0005949	XP_010765652.1	ENSGACP00000004683.1
OG0005950	XP_010765656.1	ENSGACP00000027164.1
OG0005951	XP_010765665.1	ENSGACP00000021045.1
OG0005952	XP_010765666.1	ENSGACP00000019023.1
OG0005953	XP_010765668.1	ENSGACP00000001331.1
OG0005954	XP_010765671.1	ENSGACP00000007120.1
OG0005955	XP_010765675.1	ENSGACP00000019066.1
OG0005956	XP_010765676.1	ENSGACP00000021589.1
OG0005957	XP_010765679.1	ENSGACP00000001725.1
OG0005958	XP_010765684.1	ENSGACP00000021587.1
OG0005959	XP_010765690.1	ENSGACP00000018467.1
OG0005960	XP_010765695.1	ENSGACP00000017723.1
OG0005961	XP_010765696.1	ENSGACP00000017700.1
OG0005962	XP_010765698.1	ENSGACP00000015886.1
OG0005963	XP_010765700.1	ENSGACP00000024246.1
OG0005964	XP_010765705.1	ENSGACP00000021362.1
OG0005965	XP_010765707.1	ENSGACP00000021369.1
OG0005966	XP_010765709.1	ENSGACP00000021355.1
OG0005967	XP_010765713.1	ENSGACP00000001154.1
OG0005968	XP_010765716.1	ENSGACP00000009598.1
OG0005969	XP_010765720.1	ENSGACP00000004912.1
OG0005970	XP_010765725.1	ENSGACP00000003946.1
OG0005971	XP_010765728.1	ENSGACP00000018429.1
OG0005972	XP_010765729.1	ENSGACP00000010345.1
OG0005973	XP_010765732.1	ENSGACP00000010417.1
OG0005974	XP_010765733.1	ENSGACP00000010409.1
OG0005975	XP_010765736.1	ENSGACP00000010465.1
OG0005976	XP_010765741.1	ENSGACP00000010471.1
OG0005977	XP_010765743.1	ENSGACP00000015245.1
OG0005978	XP_010765744.1	ENSGACP00000001903.1
OG0005979	XP_010765746.1	ENSGACP00000001901.1
OG0005980	XP_010765760.1	ENSGACP00000000296.1
OG0005981	XP_010765768.1	ENSGACP00000010140.1
OG0005982	XP_010765775.1	ENSGACP00000017489.1
OG0005983	XP_010765776.1	ENSGACP00000026457.1
OG0005984	XP_010765779.1	ENSGACP00000006299.1
OG0005985	XP_010765786.1	ENSGACP00000026737.1
OG0005986	XP_010765789.1	ENSGACP00000016986.1
OG0005987	XP_010765790.1	ENSGACP00000025404.1
OG0005988	XP_010765791.1	ENSGACP00000018226.1
OG0005989	XP_010765795.1	ENSGACP00000007505.1
OG0005990	XP_010765800.1	ENSGACP00000020646.1
OG0005991	XP_010765804.1	ENSGACP00000016792.1
OG0005992	XP_010765813.1	ENSGACP00000024696.1
OG0005993	XP_010765814.1	ENSGACP00000015034.1
OG0005994	XP_010765819.1	ENSGACP00000014117.1
OG0005995	XP_010765822.1	ENSGACP00000014017.1
OG0005996	XP_010765823.1	ENSGACP00000014013.1
OG0005997	XP_010765828.1	ENSGACP00000024693.1
OG0005998	XP_010765830.1	ENSGACP00000014132.1
OG0005999	XP_010765838.1	ENSGACP00000019644.1
OG0006000	XP_010765839.1	ENSGACP00000014489.1
OG0006001	XP_010765842.1	ENSGACP00000013995.1
OG0006002	XP_010765845.1	ENSGACP00000013981.1
OG0006003	XP_010765846.1	ENSGACP00000013980.1
OG0006004	XP_010765852.1	ENSGACP00000013947.1
OG0006005	XP_010765856.1	ENSGACP00000004757.1
OG0006006	XP_010765862.1	ENSGACP00000013912.1
OG0006007	XP_010765866.1	ENSGACP00000019652.1
OG0006008	XP_010765867.1	ENSGACP00000019648.1
OG0006009	XP_010765873.1	ENSGACP00000013991.1
OG0006010	XP_010765874.1	ENSGACP00000013989.1
OG0006011	XP_010765875.1	ENSGACP00000013919.1
OG0006012	XP_010765876.1	ENSGACP00000018905.1
OG0006013	XP_010765879.1	ENSGACP00000026958.1
OG0006014	XP_010765880.1	ENSGACP00000004862.1
OG0006015	XP_010765881.1	ENSGACP00000006959.1
OG0006016	XP_010765886.1	ENSGACP00000006803.1
OG0006017	XP_010765887.1	ENSGACP00000026852.1
OG0006018	XP_010765891.1	ENSGACP00000006773.1
OG0006019	XP_010765894.1	ENSGACP00000006742.1
OG0006020	XP_010765898.1	ENSGACP00000006687.1
OG0006021	XP_010765900.1	ENSGACP00000006664.1
OG0006022	XP_010765904.1	ENSGACP00000006597.1
OG0006023	XP_010765913.1	ENSGACP00000006538.1
OG0006024	XP_010765919.1	ENSGACP00000006822.2
OG0006025	XP_010765923.1	ENSGACP00000026822.1
OG0006026	XP_010765924.1	ENSGACP00000006694.1
OG0006027	XP_010765925.1	ENSGACP00000006587.1
OG0006028	XP_010765929.1	ENSGACP00000022743.1
OG0006029	XP_010765931.1	ENSGACP00000022998.1
OG0006030	XP_010765932.1	ENSGACP00000022992.1
OG0006031	XP_010765933.1	ENSGACP00000022983.1
OG0006032	XP_010765934.1	ENSGACP00000021193.1
OG0006033	XP_010765938.1	ENSGACP00000022856.1
OG0006034	XP_010765939.1	ENSGACP00000022872.1
OG0006035	XP_010765941.1	ENSGACP00000022913.1
OG0006036	XP_010765942.1	ENSGACP00000013217.1
OG0006037	XP_010765944.1	ENSGACP00000022980.1
OG0006038	XP_010765945.1	ENSGACP00000026056.1
OG0006039	XP_010765946.1	ENSGACP00000025827.1
OG0006040	XP_010765952.1	ENSGACP00000022878.1
OG0006041	XP_010765954.1	ENSGACP00000022862.1
OG0006042	XP_010765957.1	ENSGACP00000022840.1
OG0006043	XP_010765968.1	ENSGACP00000027437.1
OG0006044	XP_010765969.1	ENSGACP00000012430.1
OG0006045	XP_010765973.1	ENSGACP00000010414.1
OG0006046	XP_010765975.1	ENSGACP00000005655.1
OG0006047	XP_010765979.1	ENSGACP00000010957.1
OG0006048	XP_010765980.1	ENSGACP00000011006.1
OG0006049	XP_010765981.1	ENSGACP00000011017.1
OG0006050	XP_010765982.1	ENSGACP00000011082.1
OG0006051	XP_010765988.1	ENSGACP00000025300.1
OG0006052	XP_010765995.1	ENSGACP00000000586.1
OG0006053	XP_010765997.1	ENSGACP00000024513.1
OG0006054	XP_010766000.1	ENSGACP00000013228.1
OG0006055	XP_010766002.1	ENSGACP00000000583.1
OG0006056	XP_010766004.1	ENSGACP00000009354.1
OG0006057	XP_010766006.1	ENSGACP00000009327.1
OG0006058	XP_010766013.1	ENSGACP00000025130.1
OG0006059	XP_010766014.1	ENSGACP00000025104.1
OG0006060	XP_010766017.1	ENSGACP00000007347.1
OG0006061	XP_010766019.1	ENSGACP00000007350.1
OG0006062	XP_010766022.1	ENSGACP00000007339.1
OG0006063	XP_010766023.1	ENSGACP00000015059.1
OG0006064	XP_010766024.1	ENSGACP00000007933.1
OG0006065	XP_010766030.1	ENSGACP00000001389.1
OG0006066	XP_010766031.1	ENSGACP00000008831.1
OG0006067	XP_010766033.1	ENSGACP00000009261.1
OG0006068	XP_010766036.1	ENSGACP00000019241.1
OG0006069	XP_010766042.1	ENSGACP00000010089.1
OG0006070	XP_010766043.1	ENSGACP00000020277.1
OG0006071	XP_010766045.1	ENSGACP00000008864.1
OG0006072	XP_010766050.1	ENSGACP00000018449.1
OG0006073	XP_010766053.1	ENSGACP00000025277.1
OG0006074	XP_010766054.1	ENSGACP00000013053.1
OG0006075	XP_010766055.1	ENSGACP00000013080.1
OG0006076	XP_010766056.1	ENSGACP00000013045.1
OG0006077	XP_010766059.1	ENSGACP00000020843.1
OG0006078	XP_010766063.1	ENSGACP00000015422.1
OG0006079	XP_010766065.1	ENSGACP00000016322.1
OG0006080	XP_010766071.1	ENSGACP00000008556.1
OG0006081	XP_010766077.1	ENSGACP00000005289.1
OG0006082	XP_010766101.1	ENSGACP00000004311.1
OG0006083	XP_010766103.1	ENSGACP00000004303.1
OG0006084	XP_010766110.1	ENSGACP00000004252.1
OG0006085	XP_010766115.1	ENSGACP00000004213.1
OG0006086	XP_010766116.1	ENSGACP00000004181.1
OG0006087	XP_010766118.1	ENSGACP00000005280.1
OG0006088	XP_010766121.1	ENSGACP00000004090.1
OG0006089	XP_010766122.1	ENSGACP00000004050.1
OG0006090	XP_010766123.1	ENSGACP00000004065.1
OG0006091	XP_010766136.1	ENSGACP00000014999.1
OG0006092	XP_010766138.1	ENSGACP00000023410.1
OG0006093	XP_010766140.1	ENSGACP00000023412.1
OG0006094	XP_010766144.1	ENSGACP00000017462.1
OG0006095	XP_010766145.1	ENSGACP00000017466.1
OG0006096	XP_010766146.1	ENSGACP00000017474.1
OG0006097	XP_010766149.1	ENSGACP00000017481.1
OG0006098	XP_010766161.1	ENSGACP00000006985.1
OG0006099	XP_010766163.1	ENSGACP00000002913.2
OG0006100	XP_010766169.1	ENSGACP00000004716.1
OG0006101	XP_010766170.1	ENSGACP00000025293.1
OG0006102	XP_010766172.1	ENSGACP00000000050.1
OG0006103	XP_010766173.1	ENSGACP00000000049.1
OG0006104	XP_010766175.1	ENSGACP00000000100.1
OG0006105	XP_010766176.1	ENSGACP00000004624.1
OG0006106	XP_010766184.1	ENSGACP00000004241.1
OG0006107	XP_010766188.1	ENSGACP00000004305.1
OG0006108	XP_010766189.1	ENSGACP00000004307.1
OG0006109	XP_010766193.1	ENSGACP00000015663.1
OG0006110	XP_010766197.1	ENSGACP00000004404.1
OG0006111	XP_010766200.1	ENSGACP00000004298.1
OG0006112	XP_010766202.1	ENSGACP00000004395.1
OG0006113	XP_010766203.1	ENSGACP00000019772.1
OG0006114	XP_010766222.1	ENSGACP00000011284.1
OG0006115	XP_010766225.1	ENSGACP00000026824.1
OG0006116	XP_010766241.1	ENSGACP00000023281.1
OG0006117	XP_010766246.1	ENSGACP00000023252.1
OG0006118	XP_010766255.1	ENSGACP00000021060.1
OG0006119	XP_010766258.1	ENSGACP00000011403.1
OG0006120	XP_010766259.1	ENSGACP00000011396.1
OG0006121	XP_010766261.1	ENSGACP00000004085.1
OG0006122	XP_010766282.1	ENSGACP00000024944.1
OG0006123	XP_010766286.1	ENSGACP00000017096.1
OG0006124	XP_010766287.1	ENSGACP00000017113.1
OG0006125	XP_010766290.1	ENSGACP00000017152.1
OG0006126	XP_010766296.1	ENSGACP00000017168.1
OG0006127	XP_010766297.1	ENSGACP00000017169.1
OG0006128	XP_010766300.1	ENSGACP00000017247.1
OG0006129	XP_010766306.1	ENSGACP00000017320.1
OG0006130	XP_010766307.1	ENSGACP00000017345.1
OG0006131	XP_010766308.1	ENSGACP00000017363.1
OG0006132	XP_010766310.1	ENSGACP00000017371.1
OG0006133	XP_010766313.1	ENSGACP00000017210.1
OG0006134	XP_010766315.1	ENSGACP00000017221.1
OG0006135	XP_010766316.1	ENSGACP00000017368.1
OG0006136	XP_010766318.1	ENSGACP00000004984.1
OG0006137	XP_010766319.1	ENSGACP00000015089.1
OG0006138	XP_010766323.1	ENSGACP00000007193.1
OG0006139	XP_010766344.1	ENSGACP00000017514.1
OG0006140	XP_010766350.1	ENSGACP00000017510.1
OG0006141	XP_010766351.1	ENSGACP00000017579.1
OG0006142	XP_010766357.1	ENSGACP00000017625.1
OG0006143	XP_010766361.1	ENSGACP00000022372.1
OG0006144	XP_010766363.1	ENSGACP00000022381.1
OG0006145	XP_010766364.1	ENSGACP00000026910.1
OG0006146	XP_010766365.1	ENSGACP00000026908.1
OG0006147	XP_010766366.1	ENSGACP00000012919.1
OG0006148	XP_010766368.1	ENSGACP00000005941.1
OG0006149	XP_010766369.1	ENSGACP00000001396.1
OG0006150	XP_010766373.1	ENSGACP00000025302.1
OG0006151	XP_010766376.1	ENSGACP00000012933.1
OG0006152	XP_010766400.1	ENSGACP00000013022.1
OG0006153	XP_010766410.1	ENSGACP00000013047.1
OG0006154	XP_010766416.1	ENSGACP00000025730.1
OG0006155	XP_010766418.1	ENSGACP00000013054.1
OG0006156	XP_010766425.1	ENSGACP00000013552.1
OG0006157	XP_010766433.1	ENSGACP00000017678.1
OG0006158	XP_010766435.1	ENSGACP00000001702.1
OG0006159	XP_010766436.1	ENSGACP00000015201.1
OG0006160	XP_010766442.1	ENSGACP00000020555.1
OG0006161	XP_010766443.1	ENSGACP00000002834.1
OG0006162	XP_010766447.1	ENSGACP00000004803.1
OG0006163	XP_010766453.1	ENSGACP00000003859.1
OG0006164	XP_010766454.1	ENSGACP00000005264.1
OG0006165	XP_010766472.1	ENSGACP00000010280.1
OG0006166	XP_010766475.1	ENSGACP00000010233.1
OG0006167	XP_010766477.1	ENSGACP00000010247.1
OG0006168	XP_010766479.1	ENSGACP00000024479.1
OG0006169	XP_010766480.1	ENSGACP00000024478.1
OG0006170	XP_010766481.1	ENSGACP00000024476.1
OG0006171	XP_010766482.1	ENSGACP00000023621.1
OG0006172	XP_010766483.1	ENSGACP00000023638.1
OG0006173	XP_010766484.1	ENSGACP00000023644.1
OG0006174	XP_010766486.1	ENSGACP00000003122.1
OG0006175	XP_010766488.1	ENSGACP00000015436.1
OG0006176	XP_010766489.1	ENSGACP00000017385.1
OG0006177	XP_010766491.1	ENSGACP00000026368.1
OG0006178	XP_010766492.1	ENSGACP00000017472.1
OG0006179	XP_010766493.1	ENSGACP00000026371.1
OG0006180	XP_010766501.1	ENSGACP00000017523.1
OG0006181	XP_010766512.1	ENSGACP00000001148.1
OG0006182	XP_010766516.1	ENSGACP00000013852.1
OG0006183	XP_010766517.1	ENSGACP00000002851.1
OG0006184	XP_010766528.1	ENSGACP00000009477.1
OG0006185	XP_010766536.1	ENSGACP00000022647.1
OG0006186	XP_010766538.1	ENSGACP00000009423.1
OG0006187	XP_010766540.1	ENSGACP00000013587.1
OG0006188	XP_010766541.1	ENSGACP00000013592.1
OG0006189	XP_010766543.1	ENSGACP00000011095.1
OG0006190	XP_010766544.1	ENSGACP00000011092.1
OG0006191	XP_010766547.1	ENSGACP00000009433.1
OG0006192	XP_010766550.1	ENSGACP00000025554.1
OG0006193	XP_010766552.1	ENSGACP00000022624.1
OG0006194	XP_010766559.1	ENSGACP00000009420.1
OG0006195	XP_010766562.1	ENSGACP00000004510.1
OG0006196	XP_010766569.1	ENSGACP00000025548.1
OG0006197	XP_010766571.1	ENSGACP00000009412.1
OG0006198	XP_010766573.1	ENSGACP00000016466.1
OG0006199	XP_010766575.1	ENSGACP00000014723.1
OG0006200	XP_010766577.1	ENSGACP00000015298.1
OG0006201	XP_010766579.1	ENSGACP00000009404.1
OG0006202	XP_010766582.1	ENSGACP00000023779.1
OG0006203	XP_010766583.1	ENSGACP00000024325.1
OG0006204	XP_010766589.1	ENSGACP00000009379.1
OG0006205	XP_010766591.1	ENSGACP00000004523.1
OG0006206	XP_010766596.1	ENSGACP00000008043.1
OG0006207	XP_010766602.1	ENSGACP00000022577.1
OG0006208	XP_010766617.1	ENSGACP00000000443.1
OG0006209	XP_010766620.1	ENSGACP00000000426.1
OG0006210	XP_010766621.1	ENSGACP00000000417.1
OG0006211	XP_010766623.1	ENSGACP00000000412.1
OG0006212	XP_010766624.1	ENSGACP00000000395.1
OG0006213	XP_010766625.1	ENSGACP00000000398.1
OG0006214	XP_010766630.1	ENSGACP00000000388.1
OG0006215	XP_010766631.1	ENSGACP00000000465.1
OG0006216	XP_010766634.1	ENSGACP00000000436.1
OG0006217	XP_010766635.1	ENSGACP00000000410.1
OG0006218	XP_010766636.1	ENSGACP00000000393.1
OG0006219	XP_010766640.1	ENSGACP00000014143.1
OG0006220	XP_010766643.1	ENSGACP00000007915.1
OG0006221	XP_010766646.1	ENSGACP00000007911.1
OG0006222	XP_010766652.1	ENSGACP00000018260.1
OG0006223	XP_010766653.1	ENSGACP00000018246.2
OG0006224	XP_010766657.1	ENSGACP00000018236.1
OG0006225	XP_010766662.1	ENSGACP00000016203.1
OG0006226	XP_010766663.1	ENSGACP00000016168.1
OG0006227	XP_010766667.1	ENSGACP00000016239.1
OG0006228	XP_010766669.1	ENSGACP00000016249.1
OG0006229	XP_010766671.1	ENSGACP00000026246.1
OG0006230	XP_010766672.1	ENSGACP00000001247.1
OG0006231	XP_010766676.1	ENSGACP00000012229.1
OG0006232	XP_010766677.1	ENSGACP00000012315.1
OG0006233	XP_010766678.1	ENSGACP00000012241.1
OG0006234	XP_010766679.1	ENSGACP00000012330.1
OG0006235	XP_010766682.1	ENSGACP00000012338.1
OG0006236	XP_010766685.1	ENSGACP00000024442.1
OG0006237	XP_010766692.1	ENSGACP00000018525.1
OG0006238	XP_010766703.1	ENSGACP00000004183.1
OG0006239	XP_010766713.1	ENSGACP00000026256.1
OG0006240	XP_010766723.1	ENSGACP00000026257.1
OG0006241	XP_010766724.1	ENSGACP00000019516.1
OG0006242	XP_010766727.1	ENSGACP00000021641.1
OG0006243	XP_010766730.1	ENSGACP00000024690.1
OG0006244	XP_010766731.1	ENSGACP00000024683.1
OG0006245	XP_010766732.1	ENSGACP00000024682.1
OG0006246	XP_010766734.1	ENSGACP00000024694.1
OG0006247	XP_010766736.1	ENSGACP00000018859.1
OG0006248	XP_010766745.1	ENSGACP00000020709.1
OG0006249	XP_010766746.1	ENSGACP00000011289.1
OG0006250	XP_010766747.1	ENSGACP00000011382.1
OG0006251	XP_010766748.1	ENSGACP00000011331.1
OG0006252	XP_010766749.1	ENSGACP00000011280.1
OG0006253	XP_010766752.1	ENSGACP00000024079.1
OG0006254	XP_010766753.1	ENSGACP00000024086.1
OG0006255	XP_010766756.1	ENSGACP00000024080.1
OG0006256	XP_010766758.1	ENSGACP00000007484.1
OG0006257	XP_010766760.1	ENSGACP00000007564.1
OG0006258	XP_010766761.1	ENSGACP00000003014.1
OG0006259	XP_010766765.1	ENSGACP00000004443.1
OG0006260	XP_010766767.1	ENSGACP00000006705.1
OG0006261	XP_010766770.1	ENSGACP00000004402.1
